"No.","Time","Source","Destination","Protocol","Length","Info"
"561","56.464119544","192.168.1.20","192.168.1.10","CIP","116","Success: 'FIT201:2' - Service (0x4c)"
"562","56.467387606","192.168.1.10","192.168.1.20","TCP","66","33840  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=1450137480 TSecr=524504965"
"563","56.467768460","192.168.1.20","192.168.1.10","TCP","66","44818  >  33840 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=524504968 TSecr=1450137480"
"564","56.467790437","192.168.1.10","192.168.1.20","TCP","66","33840  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=1450137480 TSecr=524504968"
"565","57.552816949","192.168.1.10","192.168.1.20","TCP","74","55158  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1450138565 TSecr=0 WS=512"
"566","57.552839571","192.168.1.20","192.168.1.10","TCP","74","44818  >  55158 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=524506054 TSecr=1450138565 WS=512"
"567","57.552851218","192.168.1.10","192.168.1.20","TCP","66","55158  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=1450138566 TSecr=524506054"
"568","57.579752993","192.168.1.10","192.168.1.20","ENIP","94","Register Session (Req), Session: 0x00000000"
"569","57.579767501","192.168.1.20","192.168.1.10","TCP","66","44818  >  55158 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=524506080 TSecr=1450138592"
"570","57.582888304","192.168.1.20","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0x1F061EAA"
"571","57.582915591","192.168.1.10","192.168.1.20","TCP","66","55158  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=1450138596 TSecr=524506084"
"572","57.583984913","192.168.1.10","192.168.1.20","CIP CM","134","Unconnected Send: 'FIT201:2' - Service (0x4c)"
"573","57.595820733","192.168.1.20","192.168.1.10","CIP","116","Success: 'FIT201:2' - Service (0x4c)"
"574","57.598982266","192.168.1.10","192.168.1.20","TCP","66","55158  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=1450138612 TSecr=524506096"
"575","57.599495656","192.168.1.20","192.168.1.10","TCP","66","44818  >  55158 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=524506100 TSecr=1450138612"
"576","57.599522246","192.168.1.10","192.168.1.20","TCP","66","55158  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=1450138612 TSecr=524506100"
"577","58.807022989","192.168.1.10","192.168.1.20","TCP","74","55172  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1450139820 TSecr=0 WS=512"
"578","58.807041299","192.168.1.20","192.168.1.10","TCP","74","44818  >  55172 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=524507308 TSecr=1450139820 WS=512"
"579","58.807051794","192.168.1.10","192.168.1.20","TCP","66","55172  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=1450139820 TSecr=524507308"
"580","58.833183292","192.168.1.10","192.168.1.20","ENIP","94","Register Session (Req), Session: 0x00000000"
"581","58.833195697","192.168.1.20","192.168.1.10","TCP","66","44818  >  55172 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=524507334 TSecr=1450139846"
"582","58.836283466","192.168.1.20","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0x1CDAE8E5"
"583","58.836310027","192.168.1.10","192.168.1.20","TCP","66","55172  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=1450139849 TSecr=524507337"
"584","58.837435779","192.168.1.10","192.168.1.20","CIP CM","134","Unconnected Send: 'FIT201:2' - Service (0x4c)"
"585","58.849409592","192.168.1.20","192.168.1.10","CIP","116","Success: 'FIT201:2' - Service (0x4c)"
"586","58.852597489","192.168.1.10","192.168.1.20","TCP","66","55172  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=1450139865 TSecr=524507350"
"587","58.853088084","192.168.1.20","192.168.1.10","TCP","66","44818  >  55172 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=524507354 TSecr=1450139865"
"588","58.853112599","192.168.1.10","192.168.1.20","TCP","66","55172  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=1450139866 TSecr=524507354"
"589","60.684433661","192.168.1.10","192.168.1.20","TCP","74","55178  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1450141697 TSecr=0 WS=512"
"590","60.684452629","192.168.1.20","192.168.1.10","TCP","74","44818  >  55178 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=524509185 TSecr=1450141697 WS=512"
"591","60.684463810","192.168.1.10","192.168.1.20","TCP","66","55178  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=1450141697 TSecr=524509185"
"592","60.711109534","192.168.1.10","192.168.1.20","ENIP","94","Register Session (Req), Session: 0x00000000"
"593","60.711124770","192.168.1.20","192.168.1.10","TCP","66","44818  >  55178 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=524509212 TSecr=1450141724"
"594","60.713541485","192.168.1.20","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0x57EF9284"
