Interface,No.,Time,Source,Destination,Protocol,Length,Info
s1-eth1,45,2024-09-05 02:00:35.311,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth2,46,2024-09-05 02:00:35.323,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,46,2024-09-05 02:00:35.323,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,45,2024-09-05 02:00:35.309,192.168.1.10,192.168.1.20,TCP,66,56678 → 44818 0x0010
s1-eth1,47,2024-09-05 02:00:35.326,192.168.1.10,192.168.1.20,TCP,66,56678 → 44818 0x0011
s1-eth2,47,2024-09-05 02:00:35.326,192.168.1.10,192.168.1.20,TCP,66,56678 → 44818 0x0011
s1-eth3,46,2024-09-05 02:00:35.311,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth3,47,2024-09-05 02:00:35.323,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,48,2024-09-05 02:00:35.326,192.168.1.10,192.168.1.20,TCP,66,56678 → 44818 0x0011
s1-eth2,48,2024-09-05 02:00:35.326,192.168.1.20,192.168.1.10,TCP,66,44818 → 56678 0x0011
s1-eth1,48,2024-09-05 02:00:35.326,192.168.1.20,192.168.1.10,TCP,66,44818 → 56678 0x0011
s1-eth3,49,2024-09-05 02:00:35.326,192.168.1.20,192.168.1.10,TCP,66,44818 → 56678 0x0011
s1-eth1,49,2024-09-05 02:00:35.326,192.168.1.10,192.168.1.20,TCP,66,56678 → 44818 0x0010
s1-eth2,49,2024-09-05 02:00:35.326,192.168.1.10,192.168.1.20,TCP,66,56678 → 44818 0x0010
s1-eth3,50,2024-09-05 02:00:35.326,192.168.1.10,192.168.1.20,TCP,66,56678 → 44818 0x0010
s1-eth2,50,2024-09-05 02:00:35.528,fe80::21d:9cff:fec8:bc46,ff02::2,ICMPV6,70,ICMPV6
s1-eth2,51,2024-09-05 02:00:35.563,192.168.1.10,192.168.1.30,TCP,74,34486 → 44818 0x0002
s1-eth1,50,2024-09-05 02:00:35.531,fe80::21d:9cff:fec8:bc46,ff02::2,ICMPV6,70,ICMPV6
s1-eth3,51,2024-09-05 02:00:35.531,fe80::21d:9cff:fec8:bc46,ff02::2,ICMPV6,70,ICMPV6
s1-eth1,51,2024-09-05 02:00:35.563,192.168.1.10,192.168.1.30,TCP,74,34486 → 44818 0x0002
s1-eth3,52,2024-09-05 02:00:35.563,192.168.1.10,192.168.1.30,TCP,74,34486 → 44818 0x0002
s1-eth1,52,2024-09-05 02:00:35.563,192.168.1.30,192.168.1.10,TCP,74,44818 → 34486 0x0012
s1-eth2,52,2024-09-05 02:00:35.563,192.168.1.30,192.168.1.10,TCP,74,44818 → 34486 0x0012
s1-eth2,53,2024-09-05 02:00:35.563,192.168.1.10,192.168.1.30,TCP,66,34486 → 44818 0x0010
s1-eth2,54,2024-09-05 02:00:35.592,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth2,55,2024-09-05 02:00:35.592,192.168.1.30,192.168.1.10,TCP,66,44818 → 34486 0x0010
s1-eth2,56,2024-09-05 02:00:35.595,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth3,53,2024-09-05 02:00:35.563,192.168.1.30,192.168.1.10,TCP,74,44818 → 34486 0x0012
s1-eth1,53,2024-09-05 02:00:35.563,192.168.1.10,192.168.1.30,TCP,66,34486 → 44818 0x0010
s1-eth3,54,2024-09-05 02:00:35.563,192.168.1.10,192.168.1.30,TCP,66,34486 → 44818 0x0010
s1-eth1,54,2024-09-05 02:00:35.592,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,55,2024-09-05 02:00:35.592,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,56,2024-09-05 02:00:35.592,192.168.1.30,192.168.1.10,TCP,66,44818 → 34486 0x0010
s1-eth1,55,2024-09-05 02:00:35.592,192.168.1.30,192.168.1.10,TCP,66,44818 → 34486 0x0010
s1-eth3,57,2024-09-05 02:00:35.595,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,57,2024-09-05 02:00:35.595,192.168.1.10,192.168.1.30,TCP,66,34486 → 44818 0x0010
s1-eth2,58,2024-09-05 02:00:35.596,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth1,56,2024-09-05 02:00:35.595,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,57,2024-09-05 02:00:35.595,192.168.1.10,192.168.1.30,TCP,66,34486 → 44818 0x0010
s1-eth3,58,2024-09-05 02:00:35.595,192.168.1.10,192.168.1.30,TCP,66,34486 → 44818 0x0010
s1-eth1,58,2024-09-05 02:00:35.596,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,59,2024-09-05 02:00:35.596,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,60,2024-09-05 02:00:35.610,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,59,2024-09-05 02:00:35.610,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth2,59,2024-09-05 02:00:35.610,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,60,2024-09-05 02:00:35.614,192.168.1.10,192.168.1.30,TCP,66,34486 → 44818 0x0011
s1-eth2,60,2024-09-05 02:00:35.614,192.168.1.10,192.168.1.30,TCP,66,34486 → 44818 0x0011
s1-eth3,61,2024-09-05 02:00:35.614,192.168.1.10,192.168.1.30,TCP,66,34486 → 44818 0x0011
