Interface,No.,Time,Source,Destination,Protocol,Length,Info
s1-eth2,73,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34993 → 80 0x0002
s1-eth2,74,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34993 0x0014
s1-eth2,75,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34994 → 80 0x0002
s1-eth2,76,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34994 0x0014
s1-eth1,73,2024-09-04 05:59:27.069,192.168.1.77,192.168.1.10,TCP,54,35655 → 80 0x0002
s1-eth3,92,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32480 → 80 0x0002
s1-eth3,93,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32480 0x0014
s1-eth3,94,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32481 → 80 0x0002
s1-eth2,77,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34995 → 80 0x0002
s1-eth2,78,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34995 0x0014
s1-eth2,79,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34996 → 80 0x0002
s1-eth2,80,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34996 0x0014
s1-eth1,74,2024-09-04 05:59:27.069,192.168.1.10,192.168.1.77,TCP,54,80 → 35655 0x0014
s1-eth1,75,2024-09-04 05:59:27.069,192.168.1.77,192.168.1.10,TCP,54,35656 → 80 0x0002
s1-eth1,76,2024-09-04 05:59:27.069,192.168.1.10,192.168.1.77,TCP,54,80 → 35656 0x0014
s1-eth3,95,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32481 0x0014
s1-eth3,96,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32482 → 80 0x0002
s1-eth3,97,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32482 0x0014
s1-eth3,98,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32483 → 80 0x0002
s1-eth2,81,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34997 → 80 0x0002
s1-eth2,82,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34997 0x0014
s1-eth2,83,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34998 → 80 0x0002
s1-eth2,84,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34998 0x0014
s1-eth2,85,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34999 → 80 0x0002
s1-eth1,77,2024-09-04 05:59:27.069,192.168.1.77,192.168.1.10,TCP,54,35657 → 80 0x0002
s1-eth3,99,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32483 0x0014
s1-eth2,86,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34999 0x0014
s1-eth2,87,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,35000 → 80 0x0002
s1-eth2,88,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 35000 0x0014
s1-eth1,78,2024-09-04 05:59:27.069,192.168.1.10,192.168.1.77,TCP,54,80 → 35657 0x0014
s1-eth1,79,2024-09-04 05:59:27.069,192.168.1.77,192.168.1.10,TCP,54,35658 → 80 0x0002
s1-eth1,80,2024-09-04 05:59:27.069,192.168.1.10,192.168.1.77,TCP,54,80 → 35658 0x0014
s1-eth1,81,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35659 → 80 0x0002
s1-eth1,82,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35659 0x0014
s1-eth1,83,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35660 → 80 0x0002
